ID,IDSocieta,codice,macroCommessa,descrizione,stato,dataInizio,dataFine,dataGolive,rifCliente,rifProgetto,rifFunzionale,rifTecnico,giorniProgetto,giorniFunzionale,giorniSviluppo,note,pianificabile,visibileCliente,codiceIcms,sapOdv,tipologia,categoria,fixOrTimeMaterial,IDCliente.id
31,6,COD033,MCR033,Proyecto de Desarrollo de Aplicación Empresarial,3,2025-09-10,2026-03-31,2026-04-15,ClienteTreintatres,ProyectoTreintatres,FunzionaleTreintatres,TecnicoTreintatres,270.0,240.5,140.2,Detalles de la aplicación empresarial," true"," false"," ICMS033",ODV033,Desarrollo,Informática,TM,11
32,8,COD034,MCR034,Desarrollo de Plataforma de Educación en Línea,1,2025-10-05,2026-04-30,2026-05-15,ClienteTreintacuatro,ProyectoTreintacuatro,FunzionaleTreintacuatro,TecnicoTreintacuatro,140.5,110.0,60.2,Detalles de la plataforma de educación," true"," true"," ICMS034",ODV034,Consultoría,Servicios,FI,12
33,10,COD035,MCR035,Proyecto de Desarrollo de Aplicación de Viajes,2,2025-11-20,2026-05-31,2026-06-15,ClienteTreintacinco,ProyectoTreintacinco,FunzionaleTreintacinco,TecnicoTreintacinco,180.0,150.5,80.0,Detalles de la aplicación de viajes," true"," true"," ICMS035",ODV035,Desarrollo,Informática,TM,13
34,12,COD036,MCR036,Desarrollo de Plataforma de Reservas de Hotel,3,2025-12-15,2026-06-30,2026-07-15,ClienteTreintaseis,ProyectoTreintaseis,FunzionaleTreintaseis,TecnicoTreintaseis,250.5,220.0,120.5,Notas para la plataforma de reservas," false"," false"," ICMS036",ODV036,Desarrollo,Informática,FI,14
35,14,COD037,MCR037,Proyecto de Desarrollo de Aplicación de Fitness,1,2026-01-01,2026-07-31,2026-08-15,ClienteTreintasiete,ProyectoTreintasiete,FunzionaleTreintasiete,TecnicoTreintasiete,120.8,90.0,60.5,Detalles de la aplicación de fitness," true"," true"," ICMS037",ODV037,Consultoría,Servicios,TM,15
36,16,COD038,MCR038,Desarrollo de Plataforma de Música en Streaming,2,2026-02-15,2026-08-31,2026-09-15,ClienteTreintaosocho,ProyectoTreintaosocho,FunzionaleTreintaosocho,TecnicoTreintaosocho,190.2,160.0,90.5,Detalles de la plataforma de música," true"," false"," ICMS038",ODV038,Desarrollo,Informática,FI,16
37,18,COD039,MCR039,Proyecto de Desarrollo de Aplicación de Noticias,3,2026-03-10,2026-09-30,2026-10-15,ClienteTreintanueve,ProyectoTreintanueve,FunzionaleTreintanueve,TecnicoTreintanueve,260.8,230.5,130.0,Detalles de la aplicación de noticias," true"," true"," ICMS039",ODV039,Consultoría,Servicios,TM,17
38,20,COD040,MCR040,Desarrollo de Plataforma de Videoconferencia,1,2026-04-05,2026-10-31,2026-11-15,ClienteCuarenta,ProyectoCuarenta,FunzionaleCuarenta,TecnicoCuarenta,130.0,100.5,50.2,Detalles de la plataforma de videoconferencia," false"," false"," ICMS040",ODV040,Desarrollo,Informática,FI,18
39,2,COD041,MCR041,Proyecto de Desarrollo de Aplicación de Recetas,2,2026-05-20,2026-11-30,2026-12-15,ClienteCuarentauno,ProyectoCuarentauno,FunzionaleCuarentauno,TecnicoCuarentauno,200.5,170.0,80.2,Detalles de la aplicación de recetas," true"," true"," ICMS041",ODV041,Consultoría,Servicios,TM,19
40,4,COD042,MCR042,Desarrollo de Plataforma de Comida a Domicilio,3,2026-06-15,2026-12-31,2027-01-15,ClienteCuarentados,ProyectoCuarentados,FunzionaleCuarentados,TecnicoCuarentados,160.0,130.5,70.2,Detalles de la plataforma de entrega de alimentos," true"," true"," ICMS042",ODV042,Consultoría,Servicios,FI,20
41,6,COD043,MCR043,Proyecto de Desarrollo de Aplicación de Viajes Espaciales,1,2026-07-01,2027-01-31,2027-02-15,ClienteCuarentatres,ProyectoCuarentatres,FunzionaleCuarentatres,TecnicoCuarentatres,220.5,190.0,100.2,Detalles de la aplicación de viajes espaciales," false"," false"," ICMS043",ODV043,Desarrollo,Informática,FI,1
42,8,COD044,MCR044,Desarrollo de Plataforma de E-learning Interactivo,2,2026-08-18,2027-02-28,2027-03-15,ClienteCuarentacuatro,ProyectoCuarentacuatro,FunzionaleCuarentacuatro,TecnicoCuarentacuatro,90.5,60.0,30.2,Detalles de la plataforma de e-learning," true"," true"," ICMS044",ODV044,Consultoría,Servicios,FI,2
43,10,COD045,MCR045,Proyecto de Desarrollo de Aplicación de Finanzas Personales,3,2026-09-10,2027-03-31,2027-04-15,ClienteCuarentacinco,ProyectoCuarentacinco,FunzionaleCuarentacinco,TecnicoCuarentacinco,270.0,240.5,140.2,Detalles de la aplicación de finanzas personales," true"," false"," ICMS045",ODV045,Desarrollo,Informática,TM,3
44,12,COD046,MCR046,Desarrollo de Plataforma de Asesoramiento Legal en Línea,1,2026-10-05,2027-04-30,2027-05-15,ClienteCuarentaseis,ProyectoCuarentaseis,FunzionaleCuarentaseis,TecnicoCuarentaseis,140.5,110.0,60.2,Detalles de la plataforma de asesoramiento legal," true"," true"," ICMS046",ODV046,Consultoría,Servicios,FI,4
45,14,COD047,MCR047,Proyecto de Desarrollo de Aplicación de Planificación de Eventos,2,2026-11-20,2027-05-31,2027-06-15,ClienteCuarentaysiete,ProyectoCuarentaysiete,FunzionaleCuarentaysiete,TecnicoCuarentaysiete,180.0,150.5,80.0,Detalles de la aplicación de planificación de eventos," true"," true"," ICMS047",ODV047,Desarrollo,Informática,TM,5
46,16,COD048,MCR048,Desarrollo de Plataforma de Reservas de Vuelos,3,2026-12-15,2027-06-30,2027-07-15,ClienteCuarentaocho,ProyectoCuarentaocho,FunzionaleCuarentaocho,TecnicoCuarentaocho,250.5,220.0,120.5,Notas para la plataforma de reservas de vuelos," false"," false"," ICMS048",ODV048,Desarrollo,Informática,FI,6
47,18,COD049,MCR049,Proyecto de Desarrollo de Aplicación de Reciclaje,1,2027-01-01,2027-07-31,2027-08-15,ClienteCuarentanueve,ProyectoCuarentanueve,FunzionaleCuarentanueve,TecnicoCuarentanueve,120.8,90.0,60.5,Detalles de la aplicación de reciclaje," true"," true"," ICMS049",ODV049,Consultoría,Servicios,TM,7
48,20,COD050,MCR050,Desarrollo de Plataforma de Comunicación Empresarial,2,2027-02-15,2027-08-31,2027-09-15,ClienteCincuenta,ProyectoCincuenta,FunzionaleCincuenta,TecnicoCincuenta,190.2,160.0,90.5,Detalles de la plataforma de comunicación empresarial," true"," false"," ICMS050",ODV050,Desarrollo,Informática,FI,8
49,2,COD051,MCR051,Proyecto de Desarrollo de Aplicación de Moda,3,2027-03-10,2027-09-30,2027-10-15,ClienteCincuentayuno,ProyectoCincuentayuno,FunzionaleCincuentayuno,TecnicoCincuentayuno,260.8,230.5,130.0,Detalles de la aplicación de moda," true"," true"," ICMS051",ODV051,Consultoría,Servicios,TM,9
50,4,COD052,MCR052,Desarrollo de Plataforma de Tutoría en Línea,1,2027-04-05,2027-10-31,2027-11-15,ClienteCincuentados,ProyectoCincuentados,FunzionaleCincuentados,TecnicoCincuentados,130.0,100.5,50.2,Detalles de la plataforma de tutoría en línea," false"," false"," ICMS052",ODV052,Desarrollo,Informática,FI,10
51,6,COD053,MCR053,Proyecto de Desarrollo de Plataforma de Comercio Electrónico B2B,2,2027-05-20,2027-11-30,2027-12-15,ClienteCincuentaitres,ProyectoCincuentaitres,FunzionaleCincuentaitres,TecnicoCincuentaitres,200.5,170.0,80.2,Detalles de la plataforma de eCommerce B2B," true"," true"," ICMS053",ODV053,Desarrollo,Informática,TM,11
52,8,COD054,MCR054,Desarrollo de Plataforma de Telemedicina,3,2027-06-15,2027-12-31,2028-01-15,ClienteCincuentaicuatro,ProyectoCincuentaicuatro,FunzionaleCincuentaicuatro,TecnicoCincuentaicuatro,160.0,130.5,70.2,Detalles de la plataforma de telemedicina," true"," true"," ICMS054",ODV054,Consultoría,Servicios,FI,12
53,10,COD055,MCR055,Proyecto de Desarrollo de Aplicación de Viajes en Grupo,1,2027-07-01,2028-01-31,2028-02-15,ClienteCincuentaicinco,ProyectoCincuentaicinco,FunzionaleCincuentaicinco,TecnicoCincuentaicinco,220.5,190.0,100.2,Detalles de la aplicación de viajes en grupo," false"," false"," ICMS055",ODV055,Desarrollo,Informática,FI,13
54,12,COD056,MCR056,Desarrollo de Plataforma de Reservas de Actividades al Aire Libre,2,2027-08-18,2028-02-28,2028-03-15,ClienteCincuentaiseis,ProyectoCincuentaiseis,FunzionaleCincuentaiseis,TecnicoCincuentaiseis,90.5,60.0,30.2,Detalles de la plataforma de reservas de actividades," true"," true"," ICMS056",ODV056,Consultoría,Servicios,TM,14
55,14,COD057,MCR057,Proyecto de Desarrollo de Aplicación de Gestión de Tiempo,3,2027-09-10,2028-03-31,2028-04-15,ClienteCincuentaisiete,ProyectoCincuentaisiete,FunzionaleCincuentaisiete,TecnicoCincuentaisiete,270.0,240.5,140.2,Detalles de la aplicación de gestión del tiempo," true"," false"," ICMS057",ODV057,Desarrollo,Informática,FI,15
56,16,COD058,MCR058,Desarrollo de Plataforma de Juegos Educativos,1,2027-10-05,2028-04-30,2028-05-15,ClienteCincuentaiocho,ProyectoCincuentaiocho,FunzionaleCincuentaiocho,TecnicoCincuentaiocho,140.5,110.0,60.2,Detalles de la plataforma de juegos educativos," true"," true"," ICMS058",ODV058,Desarrollo,Informática,TM,16
57,18,COD059,MCR059,Proyecto de Desarrollo de Aplicación de Control de Gastos,2,2027-11-20,2028-05-31,2028-06-15,ClienteCincuentainueve,ProyectoCincuentainueve,FunzionaleCincuentainueve,TecnicoCincuentainueve,180.0,150.5,80.0,Detalles de la aplicación de control de gastos," true"," true"," ICMS059",ODV059,Desarrollo,Informática,TM,17
58,20,COD060,MCR060,Desarrollo de Plataforma de Gestión de Proyectos,3,2027-12-15,2028-06-30,2028-07-15,ClienteSesenta,ProyectoSesenta,FunzionaleSesenta,TecnicoSesenta,250.5,220.0,120.5,Notas para la plataforma de gestión de proyectos," false"," false"," ICMS060",ODV060,Desarrollo,Informática,FI,18
59,2,COD061,MCR061,Proyecto de Desarrollo de Aplicación de Organización de Eventos,1,2028-01-01,2028-07-31,2028-08-15,ClienteSesentayuno,ProyectoSesentayuno,FunzionaleSesentayuno,TecnicoSesentayuno,120.8,90.0,60.5,Detalles de la aplicación de organización de eventos," true"," true"," ICMS061",ODV061,Consultoría,Servicios,TM,19
60,4,COD062,MCR062,Desarrollo de Plataforma de Reservas de Alquiler de Coches,2,2028-02-15,2028-08-31,2028-09-15,ClienteSesentados,ProyectoSesentados,FunzionaleSesentados,TecnicoSesentados,190.2,160.0,90.5,Detalles de la plataforma de reservas de alquiler de coches," true"," false"," ICMS062",ODV062,Desarrollo,Informática,FI,20
